2026-01-10 02:13:18 | INFO | rag_core.query.service | wrapper | start
2026-01-10 02:13:18 | INFO | rag_core.preprocessing.embed | wrapper | start
2026-01-10 02:13:19 | INFO | rag_core.preprocessing.embed | wrapper | end
2026-01-10 02:13:19 | INFO | chromadb.telemetry.product.posthog | __init__ | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-01-10 02:13:20 | DEBUG | chromadb.config | start | Starting component System
2026-01-10 02:13:20 | DEBUG | chromadb.config | start | Starting component Posthog
2026-01-10 02:13:20 | INFO | rag_core.query.retrieve | wrapper | start
2026-01-10 02:13:20 | INFO | rag_core.query.retrieve | wrapper | end
2026-01-10 02:13:20 | INFO | rag_core.query.generate | wrapper | start
2026-01-10 02:13:20 | INFO | rag_core.query.generate | wrapper | end
2026-01-10 02:13:20 | INFO | rag_core.query.service | wrapper | end
2026-01-10 02:13:20 | INFO | apps.api.app.main | on_startup | API が起動しました
2026-01-10 02:13:20 | DEBUG | urllib3.connectionpool | _new_conn | Starting new HTTPS connection (1): us.i.posthog.com:443
2026-01-10 02:13:21 | DEBUG | urllib3.connectionpool | _make_request | https://us.i.posthog.com:443 "POST /batch/ HTTP/1.1" 200 15
